year,network,average_audience,game_1_audience,game_2_audience,game_3_audience,game_4_audience,game_5_audience,game_6_audience,game_7_audience,total_games_played,winning_team,losing_team,losing_team_wins
2022,Fox,11762000,11475000,10789000,11162000,11809000,12786000,12549000,,6,Houston Astros , Philadelphia Phillies ,2
2021,Fox,11744000,10811000,10280000,11232000,10511000,13644000,13986000,,6,Atlanta Braves , Houston Astros ,2
2020,Fox,9785000,9195000,8950000,8156000,9332000,10059000,12627000,,6,Los Angeles Dodgers ,Tampa Bay Rays ,2
2019,Fox,13912000,12194000,11925000,12220000,10219000,11390000,16425000,23013000,7,Washington Nationals ,Houston Astros ,3
2018,Fox,14125000,13761000,13458000,13251000,13563000,17634000,,,5,Boston Red Sox ,Los Angeles Dodgers ,1
2017,Fox,18926000,14968000,15483000,15676000,15400000,18940000,22229000,28240000,7,Houston Astros ,Los Angeles Dodgers ,3
2016,Fox,22847000,19368000,17395000,19384000,16705000,23638000,23396000,40045000,7,Chicago Cubs ,Cleveland Indians ,3
2015,Fox,14533000,14944000,13722000,13205000,13587000,17206000,,,5,Kansas City Royals ,New York Mets ,1
2014,Fox,13930000,12191000,12917000,12133000,10742000,12635000,13372000,23517000,7,San Francisco Giants ,Kansas City Royals ,3
2013,Fox,14984000,14400000,13429000,12473000,15975000,14446000,19178000,,6,Boston Red Sox ,St. Louis Cardinals ,2
2012,Fox,12636000,12240000,12340000,10471000,15485000,,,,4,San Francisco Giants ,Detroit Tigers ,0
2011,Fox,16521000,14174000,14280000,11247000,15156000,14324000,21065000,25403000,7,St. Louis Cardinals ,Texas Rangers ,3
2010,Fox,14217000,15009000,14130000,11460000,15537000,14950000,,,5,San Francisco Giants ,Texas Rangers ,1
2009,Fox,19334000,19511000,18897000,15397000,22761000,17092000,22339000,,6,New York Yankees ,Philadelphia Phillies ,2
2008,Fox,13193000,14634000,12777000,9836000,15479000,15787000,,,5,Philadelphia Phillies ,Tampa Bay Rays ,1
2007,Fox,17123000,16897000,16950000,14055000,20946000,,,,4,Boston Red Sox ,Colorado Rockies ,0
2006,Fox,15812000,12840000,18165000,15582000,16113000,16277000,,,5,St. Louis Cardinals ,Detroit Tigers ,1
2005,Fox,17162000,15015000,17190000,16652000,19979000,,,,4,Chicago White Sox ,Houston Astros ,0
2004,Fox,25390000,23168000,25463000,24422000,28844000,,,,4,Boston Red Sox ,St. Louis Cardinals ,0
2003,Fox,20143000,17687000,20552000,18889000,20885000,19919000,23240000,,6,Florida Marlins ,New York Yankees ,2
2002,Fox,19261000,15457000,19368000,17043000,18085000,15840000,19221000,30814000,7,Anaheim Angels ,San Francisco Giants ,3
2001,Fox,24528000,16476000,23550000,23407000,23692000,21323000,22672000,39084000,7,Arizona Diamondbacks ,New York Yankees ,3
2000,Fox,18081000,17556000,19045000,17453000,17611000,18927000,,,5,New York Yankees ,New York Mets ,1
1999,NBC,23731000,22035000,22825000,24116000,25848000,,,,4,New York Yankees ,Atlanta Braves ,0
1998,Fox,20340000,18740000,17860000,21970000,23390000,,,,4,New York Yankees ,San Diego Padres ,0
1997,NBC,24790000,16810000,22460000,22190000,22070000,24200000,23740000,37990000,7,Florida Marlins ,Cleveland Indians ,3
1996,Fox,25220000,23690000,19430000,23990000,25160000,28520000,30440000,,6,New York Yankees ,Atlanta Braves ,2
1995,ABC,28970000,25150000,,,28670000,31710000,,,6,Atlanta Braves ,Cleveland Indians ,2
1995,NBC,28970000,,29350000,28720000,,,30280000,,6,Atlanta Braves ,Cleveland Indians ,2
1993,CBS,24700000,23100000,25200000,20570000,24590000,26110000,29050000,,6,Toronto Blue Jays ,Philadelphia Phillies ,2
1992,CBS,30010000,25020000,29590000,29980000,26410000,31230000,35000000,,6,Toronto Blue Jays ,Atlanta Braves ,2
1991,CBS,35680000,26310000,30840000,33170000,32100000,33180000,40830000,50340000,7,Minnesota Twins ,Atlanta Braves ,3
1990,CBS,30240000,28600000,30570000,28720000,32910000,,,,4,Cincinnati Reds ,Oakland Athletics ,0
1989,ABC,24550000,25030000,25410000,26610000,21640000,,,,4,Oakland Athletics ,San Francisco Giants ,0
1988,NBC,34490000,30350000,34700000,34990000,33960000,38800000,,,5,Los Angeles Dodgers ,Oakland Athletics ,1
1987,ABC,35340000,30570000,33660000,34990000,34040000,32550000,29090000,51180000,7,Minnesota Twins ,St. Louis Cardinals ,3
1986,NBC,36370000,33100000,32340000,33200000,34490000,38710000,44510000,55000000,7,New York Mets ,Boston Red Sox ,3
