"Team","Ballpark","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","Total"
"","TOTAL ATTENDANCE","73,171,239","73,451,522","73,951,759","74,026,895","73,739,622","73,760,032","72,976,074","72,670,423","69,649,736","68,478,648","725,875,950"
"Arizona Diamondbacks","Chase Field","2,056,519","2,105,432","2,177,617","2,134,795","2,073,730","2,080,145","2,036,216","2,134,375","2,242,695","2,135,510","21,177,034"
"Atlanta Braves","SunTrust Park","","","","","","","","2,505,252","2,555,781","2,654,920","7,715,953"
"Atlanta Braves","Turner Field","2,510,119","2,372,940","2,420,171","2,548,679","2,354,305","2,001,392","2,020,914","","","","16,228,520"
"Baltimore Orioles","Camden Yards","1,733,018","1,755,461","2,102,240","2,357,561","2,464,473","2,320,590","2,172,344","2,028,424","1,564,192","1,307,807","19,806,110"
"Boston Red Sox","Fenway Park","3,046,445","3,054,001","3,043,003","2,833,333","2,956,089","2,880,694","2,955,434","2,917,678","2,895,575","2,924,627","29,506,879"
"Chicago Cubs","Wrigley Field","3,062,973","3,017,966","2,882,756","2,642,682","2,652,113","2,959,812","3,232,420","3,199,562","3,181,089","3,094,865","29,926,238"
"Chicago White Sox","US Cellular Field","2,194,378","2,001,117","1,965,955","1,768,413","1,650,821","1,755,810","1,746,293","1,629,470","1,608,817","1,629,636","17,950,710"
"Cincinnati Reds","Great American Ballpark","2,060,551","2,213,498","2,347,251","2,492,059","2,476,664","2,419,506","1,894,085","1,836,917","1,629,356","1,808,685","21,178,572"
"Cleveland Indians","Progressive Field","1,391,644","1,840,835","1,603,599","1,572,926","1,437,393","1,388,905","1,591,667","2,048,138","1,926,701","1,738,642","16,540,450"
"Colorado Rockies","Coors Field","2,875,245","2,909,777","2,630,458","2,793,828","2,680,329","2,506,789","2,602,524","2,953,650","3,015,880","2,993,244","27,961,724"
"Detroit Tigers","Comerica Park","2,461,237","2,642,045","3,028,033","3,083,397","2,917,209","2,726,048","2,493,859","2,321,599","1,856,970","1,501,430","25,031,827"
"Florida Marlins","Sun Life Stadium","1,524,894","1,520,562","","","","","","","","","3,045,456"
"Houston Astros","Minute Maid Park","2,331,490","2,067,016","1,607,733","1,651,883","1,751,829","2,153,585","2,306,623","2,403,671","2,980,549","2,857,367","22,111,746"
"Kansas City Royals","Kauffman Stadium","1,615,327","1,724,450","1,739,859","1,750,754","1,956,482","2,708,549","2,557,712","2,220,370","1,665,107","1,479,659","19,418,269"
"Los Angeles Angels","Angel Stadium","3,250,814","3,166,321","2,177,617","3,019,505","3,095,935","3,012,765","3,016,142","3,019,583","3,020,216","3,023,010","29,801,908"
"Los Angeles Dodgers","Dodger Stadium","3,562,320","2,935,139","3,324,246","3,743,527","3,782,337","3,764,815","3,703,312","3,765,856","3,857,500","3,974,309","36,413,361"
"Miami Marlins","Marlins Park","","","2,219,444","1,586,322","1,732,283","1,752,235","1,712,417","1,651,997","811,104","811,302","12,277,104"
"Milwaukee Brewers","Miller Park","2,776,531","3,071,373","2,831,385","2,531,105","2,797,384","2,542,558","2,131,614","2,558,722","2,850,875","2,923,333","27,014,880"
"Minnesota Twins","Target Field","3,223,640","3,168,107","2,776,354","2,477,644","2,250,606","2,220,054","1,963,912","2,051,279","1,959,197","2,294,152","24,384,945"
"New York Mets","Citi Field","2,559,738","2,378,549","2,219,444","2,135,657","2,148,808","2,569,753","2,789,608","2,460,622","2,224,995","2,442,532","23,929,706"
"New York Yankees","Yankee Stadium","3,765,807","3,653,680","3,542,406","3,279,589","3,401,624","3,193,795","3,063,405","3,146,966","3,482,855","3,304,404","33,834,531"
"Oakland Athletics","Oakland Coliseum","1,418,391","1,476,792","1,679,013","1,809,302","2,003,628","1,768,175","1,521,506","1,475,721","1,573,616","1,662,211","16,388,355"
"Philadelphia Phillies","Citizens Bank Park","3,647,249","3,680,718","3,565,718","3,012,403","2,423,852","1,831,080","1,915,144","1,905,354","2,158,124","2,727,421","26,867,063"
"Pittsburgh Pirates","PNC Park","1,613,399","1,940,429","2,091,918","2,256,862","2,442,564","2,498,596","2,249,021","1,919,447","1,465,316","1,491,429","19,968,981"
"San Diego Padres","Petco Park","2,131,774","2,143,018","2,123,721","2,166,691","2,195,373","2,459,752","2,351,426","2,138,491","2,147,000","2,396,399","22,253,645"
"San Francisco Giants","AT&T Park","3,037,443","3,387,303","3,377,371","3,369,106","3,368,697","3,375,882","3,365,256","3,303,652","3,156,185","2,707,760","32,448,655"
"Seattle Mariners","Safeco Field","2,195,284","1,896,321","1,721,920","1,761,546","2,064,334","2,193,581","2,267,928","2,135,445","2,299,489","1,791,937","20,327,785"
"St. Louis Cardinals","Busch Stadium","3,301,218","3,093,954","3,262,109","3,369,769","3,540,649","3,520,889","3,444,490","3,447,937","3,403,587","3,480,393","33,864,995"
"Tampa Bay Rays","Tropicana Field","1,864,999","1,529,188","1,559,681","1,510,300","1,446,464","1,247,668","1,286,163","1,253,619","1,154,973","1,178,735","14,031,790"
"Texas Rangers","Globe Life Park","2,505,171","2,946,949","3,460,280","3,178,273","2,718,733","2,491,875","2,710,402","2,507,760","2,107,107","2,133,004","26,759,554"
"Toronto Blue Jays","Rogers Centre","1,625,555","1,818,103","2,099,663","2,536,562","2,375,525","2,794,891","3,392,299","3,203,886","2,325,281","1,750,144","23,921,909"
"Washington Nationals","Nationals Park","1,828,066","1,940,478","2,370,794","2,652,422","2,579,389","2,619,843","2,481,938","2,524,980","2,529,604","2,259,781","23,787,295"
